study,identity_split_seed,key_seed,condition,model_runs,chance_top1,top1_mean,top1_std,top1_min,top1_max,auroc_mean,eer_mean,all_clustered_intervals_include_chance
lfw_large,20260827,20260826,shared_key_calibration,3,0.03333333333333333,0.7407407407407408,0.023129622216290405,0.7222222222222222,0.7666666666666667,0.9665260236822605,0.08139633886760324,False
lfw_large,20260827,20260827,independent_unseen_keys,3,0.03333333333333333,0.028395061728395062,0.01402199591555623,0.018518518518518517,0.044444444444444446,0.5007388486826546,0.5027032779906343,True
lfw_large,20260827,20260827,shared_key_calibration,3,0.03333333333333333,0.7592592592592592,0.013353893612829579,0.7481481481481481,0.774074074074074,0.969247749239235,0.08305661983822903,False
lfw_large,20260827,20260828,independent_unseen_keys,3,0.03333333333333333,0.025925925925925925,0.007407407407407408,0.018518518518518517,0.03333333333333333,0.5024852182962017,0.5042997020008514,True
lfw_large,20260827,20260828,shared_key_calibration,3,0.03333333333333333,0.665432098765432,0.009320783253420662,0.6555555555555556,0.674074074074074,0.946704192485376,0.11251596424010217,False
lfw_large,20260828,20260826,independent_unseen_keys,3,0.03333333333333333,0.029629629629629627,0.003703703703703704,0.025925925925925925,0.03333333333333333,0.5001069012818693,0.5014687100893999,True
lfw_large,20260828,20260826,shared_key_calibration,3,0.03333333333333333,0.7493827160493828,0.022630003431880662,0.7296296296296296,0.774074074074074,0.9731960014505777,0.08673903788846316,False
lfw_large,20260828,20260827,independent_unseen_keys,3,0.03333333333333333,0.03333333333333333,0.003703703703703702,0.02962962962962963,0.037037037037037035,0.4996211153682418,0.4979565772669221,True
lfw_large,20260828,20260827,shared_key_calibration,3,0.03333333333333333,0.7716049382716049,0.03319587570308337,0.7333333333333333,0.7925925925925926,0.978057014016997,0.07471264367816093,False
lfw_large,20260828,20260828,independent_unseen_keys,3,0.03333333333333333,0.03580246913580246,0.0021383343303319467,0.03333333333333333,0.037037037037037035,0.5011825363038646,0.5010217113665391,True
lfw_large,20260828,20260828,shared_key_calibration,3,0.03333333333333333,0.774074074074074,0.007407407407407363,0.7666666666666667,0.7814814814814814,0.96405136937704,0.10057471264367816,False
