dataset,partition,scheme,pool_size,test_identities,chance_top1,one_record_top1_mean,top1_mean,top1_std,auroc_mean,eer_mean,minimum_clustered_lower,maximum_clustered_upper,top1_over_chance_1,top1_over_chance_10,amplification_pp,interval_excludes_chance,source_file
MOBIO,A,BioHash,fresh,30,0.033333,0.031944,0.055556,0.019245,0.498421,0.512476,0.000000,0.166667,0.958320,1.666680,2.361200,False,mobio_multiexposure/dense_key_pool_sweep_summary.csv
MOBIO,2,BioHash,3,30,0.033333,0.223611,0.486111,0.042763,0.926187,0.149425,0.283333,0.700000,6.708330,14.583330,26.250000,True,mobio_multiexposure/dense_key_pool_sweep_partition2_summary.csv
MOBIO,2,BioHash,4,30,0.033333,0.076389,0.486111,0.095864,0.934657,0.137476,0.237396,0.745833,2.291670,14.583330,40.972200,True,mobio_multiexposure/dense_key_pool_sweep_partition2_summary.csv
MOBIO,2,BioHash,5,30,0.033333,0.063889,0.402778,0.018789,0.890889,0.187596,0.237500,0.591667,1.916670,12.083340,33.888900,True,mobio_multiexposure/dense_key_pool_sweep_partition2_summary.csv
MOBIO,2,BioHash,6,30,0.033333,0.063889,0.363889,0.028362,0.841103,0.232399,0.195729,0.550000,1.916670,10.916670,30.000000,True,mobio_multiexposure/dense_key_pool_sweep_partition2_summary.csv
MOBIO,2,BioHash,7,30,0.033333,0.050000,0.304167,0.154841,0.792764,0.268032,0.041667,0.604167,1.500000,9.125010,25.416700,True,mobio_multiexposure/dense_key_pool_sweep_partition2_summary.csv
MOBIO,2,BioHash,8,30,0.033333,0.031944,0.141667,0.141114,0.658525,0.385752,0.000000,0.458333,0.958320,4.250010,10.972300,False,mobio_multiexposure/dense_key_pool_sweep_partition2_summary.csv
MOBIO,2,BioHash,9,30,0.033333,0.025000,0.063889,0.048829,0.559376,0.445163,0.000000,0.233333,0.750000,1.916670,3.888900,False,mobio_multiexposure/dense_key_pool_sweep_partition2_summary.csv
MOBIO,2,BioHash,fresh,30,0.033333,0.023611,0.015278,0.016839,0.496098,0.508166,0.000000,0.100000,0.708330,0.458340,-0.833300,False,mobio_multiexposure/dense_key_pool_sweep_partition2_summary.csv
MOBIO,3,BioHash,3,30,0.033333,0.058333,0.563889,0.094495,0.936157,0.135010,0.337500,0.829271,1.749990,16.916670,50.555600,True,mobio_multiexposure/dense_key_pool_sweep_partition3_summary.csv
MOBIO,3,BioHash,4,30,0.033333,0.054167,0.519444,0.010486,0.945260,0.119157,0.350000,0.691667,1.625010,15.583320,46.527700,True,mobio_multiexposure/dense_key_pool_sweep_partition3_summary.csv
MOBIO,3,BioHash,5,30,0.033333,0.048611,0.080556,0.030142,0.636236,0.386853,0.000000,0.208333,1.458330,2.416680,3.194500,False,mobio_multiexposure/dense_key_pool_sweep_partition3_summary.csv
MOBIO,3,BioHash,6,30,0.033333,0.045833,0.086111,0.027743,0.605007,0.411135,0.000000,0.233333,1.374990,2.583330,4.027800,False,mobio_multiexposure/dense_key_pool_sweep_partition3_summary.csv
MOBIO,3,BioHash,7,30,0.033333,0.056944,0.088889,0.012729,0.593610,0.434650,0.000000,0.212500,1.708320,2.666670,3.194500,False,mobio_multiexposure/dense_key_pool_sweep_partition3_summary.csv
MOBIO,3,BioHash,8,30,0.033333,0.030556,0.038889,0.025459,0.626000,0.395785,0.000000,0.158333,0.916680,1.166670,0.833300,False,mobio_multiexposure/dense_key_pool_sweep_partition3_summary.csv
MOBIO,3,BioHash,9,30,0.033333,0.047222,0.066667,0.033333,0.573857,0.437620,0.000000,0.208333,1.416660,2.000010,1.944500,False,mobio_multiexposure/dense_key_pool_sweep_partition3_summary.csv
MOBIO,3,BioHash,fresh,30,0.033333,0.037500,0.044444,0.050918,0.504251,0.502754,0.000000,0.200000,1.125000,1.333320,0.694400,False,mobio_multiexposure/dense_key_pool_sweep_partition3_summary.csv
