source_metrics,metrics_sha256,config_sha256,embedding_manifest_sha256,git_commit,stage,dataset,scheme,split_seed,key_seed,set_seed,test_identities,condition,exposures,model,seed,top1,top5,auroc,eer,tar_at_far_1e-2,tar_at_far_1e-3,lower95,upper95,best_epoch,identity_pairing_available
results/fei_key_pool_boundary/metrics.json,465bfffb1f4b2ce9bedd6eb43bc17bd482790a5bfe61feba62a6728df1364a6c,98f90bca4f30eb60fa3e6cb9723a91cbc69e5532d5d06e77f85fc41ce223347e,c0ecb4c4b29c0492aa08b2507e41690bda0b86070e20ea03a72e56d954b4cdfb,d1e4ceb3f975fb47d9a8321c47484bb1411f5239,exploratory,FEI,biohash,original,90697,90703,40,random_key_pool_4,1,single_mlp,387,0.05,0.1625,0.5879216746794872,0.4204326923076923,0.025,0.0125,0.0,0.121875,24,False
results/fei_key_pool_boundary/metrics.json,465bfffb1f4b2ce9bedd6eb43bc17bd482790a5bfe61feba62a6728df1364a6c,98f90bca4f30eb60fa3e6cb9723a91cbc69e5532d5d06e77f85fc41ce223347e,c0ecb4c4b29c0492aa08b2507e41690bda0b86070e20ea03a72e56d954b4cdfb,d1e4ceb3f975fb47d9a8321c47484bb1411f5239,exploratory,FEI,biohash,original,90697,90703,40,random_key_pool_4,10,mean_mlp,367,0.465625,0.775,0.9324151141826924,0.15308493589743588,0.384375,0.08125,0.31875,0.6125,56,False
results/fei_key_pool_boundary/metrics.json,465bfffb1f4b2ce9bedd6eb43bc17bd482790a5bfe61feba62a6728df1364a6c,98f90bca4f30eb60fa3e6cb9723a91cbc69e5532d5d06e77f85fc41ce223347e,c0ecb4c4b29c0492aa08b2507e41690bda0b86070e20ea03a72e56d954b4cdfb,d1e4ceb3f975fb47d9a8321c47484bb1411f5239,exploratory,FEI,biohash,original,90697,90703,40,random_key_pool_4,10,mean_mlp,377,0.5,0.878125,0.936376452323718,0.1187099358974359,0.4375,0.3,0.359375,0.646875,71,False
results/fei_key_pool_boundary/metrics.json,465bfffb1f4b2ce9bedd6eb43bc17bd482790a5bfe61feba62a6728df1364a6c,98f90bca4f30eb60fa3e6cb9723a91cbc69e5532d5d06e77f85fc41ce223347e,c0ecb4c4b29c0492aa08b2507e41690bda0b86070e20ea03a72e56d954b4cdfb,d1e4ceb3f975fb47d9a8321c47484bb1411f5239,exploratory,FEI,biohash,original,90697,90703,40,random_key_pool_4,10,mean_mlp,387,0.459375,0.809375,0.9280215845352564,0.1447115384615385,0.346875,0.134375,0.315625,0.609375,55,False
results/fei_key_pool_boundary/metrics.json,465bfffb1f4b2ce9bedd6eb43bc17bd482790a5bfe61feba62a6728df1364a6c,98f90bca4f30eb60fa3e6cb9723a91cbc69e5532d5d06e77f85fc41ce223347e,c0ecb4c4b29c0492aa08b2507e41690bda0b86070e20ea03a72e56d954b4cdfb,d1e4ceb3f975fb47d9a8321c47484bb1411f5239,exploratory,FEI,biohash,original,90697,90703,40,random_key_pool_5,1,single_mlp,367,0.0125,0.146875,0.5356963641826924,0.4826121794871795,0.0125,0.0,0.0,0.034375,22,False
results/fei_key_pool_boundary/metrics.json,465bfffb1f4b2ce9bedd6eb43bc17bd482790a5bfe61feba62a6728df1364a6c,98f90bca4f30eb60fa3e6cb9723a91cbc69e5532d5d06e77f85fc41ce223347e,c0ecb4c4b29c0492aa08b2507e41690bda0b86070e20ea03a72e56d954b4cdfb,d1e4ceb3f975fb47d9a8321c47484bb1411f5239,exploratory,FEI,biohash,original,90697,90703,40,random_key_pool_5,1,single_mlp,377,0.034375,0.15625,0.5362978265224358,0.4774439102564103,0.015625,0.0,0.0,0.078125,22,False
results/fei_key_pool_boundary/metrics.json,465bfffb1f4b2ce9bedd6eb43bc17bd482790a5bfe61feba62a6728df1364a6c,98f90bca4f30eb60fa3e6cb9723a91cbc69e5532d5d06e77f85fc41ce223347e,c0ecb4c4b29c0492aa08b2507e41690bda0b86070e20ea03a72e56d954b4cdfb,d1e4ceb3f975fb47d9a8321c47484bb1411f5239,exploratory,FEI,biohash,original,90697,90703,40,random_key_pool_5,1,single_mlp,387,0.0375,0.153125,0.5664087540064102,0.4532051282051282,0.009375,0.0,0.0,0.096875,23,False
results/fei_key_pool_boundary/metrics.json,465bfffb1f4b2ce9bedd6eb43bc17bd482790a5bfe61feba62a6728df1364a6c,98f90bca4f30eb60fa3e6cb9723a91cbc69e5532d5d06e77f85fc41ce223347e,c0ecb4c4b29c0492aa08b2507e41690bda0b86070e20ea03a72e56d954b4cdfb,d1e4ceb3f975fb47d9a8321c47484bb1411f5239,exploratory,FEI,biohash,original,90697,90703,40,random_key_pool_5,10,mean_mlp,367,0.44375,0.809375,0.9294804186698717,0.13705929487179486,0.25625,0.128125,0.3125,0.584375,75,False
results/fei_key_pool_boundary/metrics.json,465bfffb1f4b2ce9bedd6eb43bc17bd482790a5bfe61feba62a6728df1364a6c,98f90bca4f30eb60fa3e6cb9723a91cbc69e5532d5d06e77f85fc41ce223347e,c0ecb4c4b29c0492aa08b2507e41690bda0b86070e20ea03a72e56d954b4cdfb,d1e4ceb3f975fb47d9a8321c47484bb1411f5239,exploratory,FEI,biohash,original,90697,90703,40,random_key_pool_5,10,mean_mlp,377,0.375,0.80625,0.9231234975961539,0.14375000000000002,0.296875,0.084375,0.25,0.509375,82,False
results/fei_key_pool_boundary/metrics.json,465bfffb1f4b2ce9bedd6eb43bc17bd482790a5bfe61feba62a6728df1364a6c,98f90bca4f30eb60fa3e6cb9723a91cbc69e5532d5d06e77f85fc41ce223347e,c0ecb4c4b29c0492aa08b2507e41690bda0b86070e20ea03a72e56d954b4cdfb,d1e4ceb3f975fb47d9a8321c47484bb1411f5239,exploratory,FEI,biohash,original,90697,90703,40,random_key_pool_5,10,mean_mlp,387,0.30625,0.790625,0.9256305088141026,0.15280448717948716,0.18125,0.0,0.18125,0.446875,74,False
