dataset,split_seed,master_seed,policy,threshold,validation_fmr,tar,fmr,genuine_pairs,impostor_pairs
SCface,93083,93001,recurring,0.6406250000000001,0.009394495412844036,0.30778388278388275,0.009131868131868132,543,13575
SCface,93083,93001,separated,0.6562500000000001,0.007706422018348624,0.31263736263736264,0.006476190476190477,543,13575
SCface,93083,93047,recurring,0.6562500000000001,0.005577981651376147,0.29789377289377283,0.0049304029304029304,543,13575
SCface,93083,93047,separated,0.6562500000000001,0.006532110091743119,0.2835164835164835,0.005879120879120879,543,13575
SCface,93083,93053,recurring,0.6562500000000001,0.006091743119266055,0.2752747252747253,0.005597069597069598,543,13575
SCface,93083,93053,separated,0.6562500000000001,0.006091743119266055,0.3272893772893773,0.005673992673992675,543,13575
SCface,93083,93059,recurring,0.6562500000000001,0.009174311926605505,0.29258241758241754,0.006794871794871796,543,13575
SCface,93083,93059,separated,0.6562500000000001,0.0052844036697247704,0.2785714285714286,0.005073260073260074,543,13575
SCface,93083,93077,recurring,0.6562500000000001,0.0076330275229357794,0.2580586080586081,0.006648351648351649,543,13575
SCface,93083,93077,separated,0.6406250000000001,0.009981651376146788,0.34184981684981686,0.011267399267399265,543,13575
SCface,93089,92927,recurring,0.6406250000000001,0.008487084870848708,0.315018315018315,0.00871794871794872,546,13650
SCface,93089,92927,separated,0.6406250000000001,0.007084870848708487,0.32234432234432236,0.011721611721611723,546,13650
SCface,93089,92941,recurring,0.6562500000000001,0.007527675276752768,0.25091575091575086,0.005567765567765568,546,13650
SCface,93089,92941,separated,0.6562500000000001,0.006125461254612546,0.26373626373626374,0.004542124542124543,546,13650
SCface,93089,92951,recurring,0.6562500000000001,0.007084870848708487,0.3021978021978022,0.005567765567765569,546,13650
SCface,93089,92951,separated,0.6562500000000001,0.005239852398523985,0.27106227106227104,0.006227106227106228,546,13650
SCface,93089,92957,recurring,0.6562500000000001,0.005313653136531365,0.30952380952380953,0.006007326007326007,546,13650
SCface,93089,92957,separated,0.6562500000000001,0.007084870848708487,0.3131868131868132,0.006446886446886448,546,13650
SCface,93089,92959,recurring,0.6562500000000001,0.005756457564575645,0.32417582417582413,0.005054945054945055,546,13650
