dataset,split_seed,master_seed,policy,threshold,validation_fmr,tar,fmr,genuine_pairs,impostor_pairs
MOBIO,92831,92767,recurring,0.6562500000000001,0.007523510971786834,0.9484848484848486,0.0064890282131661444,329,9541
MOBIO,92831,92767,separated,0.6562500000000001,0.005433646812957158,0.9181818181818181,0.00971786833855799,329,9541
MOBIO,92831,92779,recurring,0.6562500000000001,0.006478578892371996,0.9454545454545455,0.005653082549634272,329,9541
MOBIO,92831,92779,separated,0.6562500000000001,0.007001044932079415,0.9515151515151515,0.007220480668756529,329,9541
MOBIO,92831,92789,recurring,0.6562500000000001,0.005851619644723093,0.9333333333333333,0.009623824451410658,329,9541
MOBIO,92831,92789,separated,0.6406250000000001,0.00909090909090909,0.9484848484848485,0.011138975966562175,329,9541
MOBIO,92831,92801,recurring,0.6562500000000001,0.005433646812957158,0.9393939393939394,0.005653082549634272,329,9541
MOBIO,92831,92801,separated,0.6562500000000001,0.00522466039707419,0.9181818181818182,0.0070219435736677115,329,9541
MOBIO,92831,92809,recurring,0.6562500000000001,0.007210031347962382,0.9333333333333333,0.0045141065830721,329,9541
MOBIO,92831,92809,separated,0.6562500000000001,0.005642633228840125,0.9727272727272728,0.005747126436781608,329,9541
FEI,92821,92701,recurring,0.6562500000000001,0.007979815760136127,0.9409090909090908,0.006054778554778555,433,16887
FEI,92821,92701,separated,0.6562500000000001,0.008214516223669541,0.8949999999999999,0.00567016317016317,433,16887
FEI,92821,92707,recurring,0.6562500000000001,0.007627765064836003,0.9634090909090908,0.009597902097902098,433,16887
FEI,92821,92707,separated,0.6562500000000001,0.005984861820102095,0.9293181818181818,0.005926573426573427,433,16887
FEI,92821,92717,recurring,0.6562500000000001,0.008273191339552895,0.9386363636363637,0.006334498834498834,433,16887
FEI,92821,92717,separated,0.6562500000000001,0.007158364137769172,0.9086363636363636,0.010087412587412586,433,16887
FEI,92821,92723,recurring,0.6562500000000001,0.00833186645543625,0.9363636363636363,0.008018648018648019,433,16887
FEI,92821,92723,separated,0.6562500000000001,0.007510414833069295,0.9611363636363637,0.006351981351981352,433,16887
FEI,92821,92737,recurring,0.6562500000000001,0.007393064601302588,0.985909090909091,0.006416083916083917,433,16887
FEI,92821,92737,separated,0.6562500000000001,0.007862465528369418,0.9431818181818183,0.007995337995337994,433,16887
FEI,92821,92753,recurring,0.6562500000000001,0.008273191339552895,0.9361363636363634,0.0065617715617715625,433,16887
FEI,92821,92753,separated,0.6562500000000001,0.007217039253652526,0.9545454545454547,0.006853146853146854,433,16887
FEI,92821,92761,recurring,0.6562500000000001,0.008449216687202957,0.9254545454545454,0.006998834498834499,433,16887
FEI,92821,92761,separated,0.6562500000000001,0.007686440180719357,0.9311363636363638,0.007966200466200467,433,16887
FEI,92821,92767,recurring,0.6562500000000001,0.006454262747168925,0.95,0.006998834498834499,433,16887
FEI,92821,92767,separated,0.6562500000000001,0.008507891803086311,0.9650000000000001,0.008921911421911422,433,16887
FEI,92821,92779,recurring,0.6562500000000001,0.009446693657219974,0.95,0.009137529137529138,433,16887
FEI,92821,92779,separated,0.6562500000000001,0.007569089948952649,0.9447727272727274,0.006567599067599067,433,16887
FEI,92821,92789,recurring,0.6562500000000001,0.007158364137769172,0.9186363636363637,0.009294871794871795,433,16887
FEI,92821,92789,separated,0.6562500000000001,0.008566566918969665,0.9361363636363637,0.008811188811188812,433,16887
FEI,92821,92801,recurring,0.6718750000000001,0.0052220853136184945,0.8693181818181819,0.004627039627039627,433,16887
FEI,92821,92801,separated,0.6562500000000001,0.007217039253652526,0.9561363636363638,0.006958041958041958,433,16887
FEI,92821,92809,recurring,0.6562500000000001,0.009329343425453265,0.9340909090909092,0.007907925407925408,433,16887
FEI,92821,92809,separated,0.6562500000000001,0.007569089948952649,0.9700000000000001,0.007057109557109556,433,16887
FEI,92831,92701,recurring,0.6562500000000001,0.007393064601302588,0.9477272727272726,0.010034965034965034,436,17004
FEI,92831,92701,separated,0.6562500000000001,0.007803790412486065,0.9222727272727272,0.010157342657342656,436,17004
FEI,92831,92707,recurring,0.6562500000000001,0.007979815760136127,0.940909090909091,0.0075699300699300694,436,17004
FEI,92831,92707,separated,0.6562500000000001,0.008155841107786188,0.8954545454545455,0.007441724941724942,436,17004
FEI,92831,92717,recurring,0.6562500000000001,0.008683917150736372,0.9204545454545453,0.01032051282051282,436,17004
FEI,92831,92717,separated,0.6562500000000001,0.008566566918969665,0.95,0.008601398601398602,436,17004
FEI,92831,92723,recurring,0.6562500000000001,0.006923663674235757,0.890909090909091,0.007733100233100233,436,17004
FEI,92831,92723,separated,0.6562500000000001,0.005691486240685326,0.9338636363636365,0.010920745920745921,436,17004
FEI,92831,92737,recurring,0.6562500000000001,0.007803790412486065,0.9520454545454544,0.009673659673659674,436,17004
FEI,92831,92737,separated,0.6562500000000001,0.007979815760136127,0.959090909090909,0.009265734265734266,436,17004
FEI,92831,92753,recurring,0.6562500000000001,0.006806313442469049,0.9313636363636363,0.010699300699300699,436,17004
FEI,92831,92753,separated,0.6562500000000001,0.006747638326585695,0.9113636363636364,0.010332167832167833,436,17004
FEI,92831,92761,recurring,0.6562500000000001,0.008273191339552895,0.9279545454545455,0.010128205128205128,436,17004
FEI,92831,92761,separated,0.6562500000000001,0.008097165991902834,0.8993181818181817,0.00696969696969697,436,17004
FEI,92831,92767,recurring,0.6562500000000001,0.007510414833069295,0.8931818181818182,0.006993006993006994,436,17004
FEI,92831,92767,separated,0.6562500000000001,0.007510414833069295,0.9454545454545453,0.008088578088578088,436,17004
FEI,92831,92779,recurring,0.6562500000000001,0.005280760429501848,0.9452272727272728,0.009731934731934733,436,17004
FEI,92831,92779,separated,0.6562500000000001,0.008507891803086311,0.9181818181818182,0.0073076923076923084,436,17004
FEI,92831,92789,recurring,0.6562500000000001,0.006278237399518864,0.9211363636363638,0.011101398601398601,436,17004
FEI,92831,92789,separated,0.6562500000000001,0.007099689021885818,0.9363636363636363,0.00886946386946387,436,17004
FEI,92831,92801,recurring,0.6562500000000001,0.00833186645543625,0.9088636363636364,0.010396270396270396,436,17004
FEI,92831,92801,separated,0.6562500000000001,0.007569089948952649,0.9152272727272728,0.010326340326340326,436,17004
FEI,92831,92809,recurring,0.6562500000000001,0.007686440180719357,0.915909090909091,0.009294871794871795,436,17004
FEI,92831,92809,separated,0.6562500000000001,0.006747638326585695,0.9361363636363637,0.008688811188811188,436,17004
