split_seed,camera,distance,aggregation,key_seeds,baseline_tar,candidate_tar,mean_difference,seed_difference_sd,seed_difference_min,seed_difference_max
93089,1,2,camera_distance,12,0.5064102564102564,0.4679487179487179,-0.038461538461538436,0.1238177007666138,-0.26923076923076916,0.15384615384615385
93089,1,3,camera_distance,12,0.717948717948718,0.7532051282051282,0.03525641025641027,0.13369649752957827,-0.11538461538461542,0.34615384615384615
93089,2,1,camera_distance,12,0.12179487179487179,0.1378205128205128,0.016025641025641024,0.07045982327082524,-0.07692307692307693,0.15384615384615383
93089,2,2,camera_distance,12,0.4198717948717949,0.4134615384615385,-0.00641025641025642,0.12254400943254416,-0.15384615384615385,0.23076923076923073
93089,2,3,camera_distance,12,0.7115384615384613,0.7435897435897436,0.03205128205128205,0.10857942972185537,-0.07692307692307698,0.23076923076923084
93089,3,1,camera_distance,12,0.09294871794871797,0.08974358974358974,-0.0032051282051282055,0.08110707453666419,-0.11538461538461539,0.19230769230769232
93089,3,2,camera_distance,12,0.233974358974359,0.266025641025641,0.03205128205128207,0.13802703126255259,-0.1923076923076923,0.34615384615384615
93089,3,3,camera_distance,12,0.6185897435897436,0.6602564102564102,0.041666666666666664,0.15598024499864344,-0.1923076923076923,0.2692307692307693
93089,4,1,camera_distance,12,0.08653846153846155,0.10256410256410257,0.016025641025641028,0.07597020545994307,-0.07692307692307693,0.15384615384615385
93089,4,2,camera_distance,12,0.36217948717948717,0.3653846153846154,0.00320512820512821,0.11878252458905597,-0.15384615384615383,0.2692307692307693
93089,4,3,camera_distance,12,0.717948717948718,0.717948717948718,0.0,0.11001491414372218,-0.1923076923076923,0.1923076923076923
93089,5,1,camera_distance,12,0.125,0.10897435897435896,-0.016025641025641028,0.04478846741851212,-0.07692307692307693,0.0769230769230769
93089,5,2,camera_distance,12,0.3269230769230769,0.358974358974359,0.03205128205128205,0.1320518478273348,-0.15384615384615385,0.2692307692307693
93089,5,3,camera_distance,12,0.5192307692307692,0.5192307692307693,-4.625929269271485e-18,0.13721270538705305,-0.15384615384615385,0.30769230769230765
93089,6,1,camera_distance,12,0.025641025641025644,0.032051282051282055,0.006410256410256411,0.045900626264604234,-0.07692307692307693,0.07692307692307693
93089,6,2,camera_distance,12,0.08974358974358974,0.0705128205128205,-0.019230769230769235,0.060257650138510796,-0.11538461538461539,0.11538461538461539
93089,6,3,camera_distance,12,0.21153846153846156,0.25961538461538464,0.04807692307692307,0.1282196961420203,-0.2692307692307693,0.23076923076923075
93089,7,1,camera_distance,12,0.006410256410256411,0.02243589743589744,0.016025641025641028,0.034628332206866154,-0.038461538461538464,0.07692307692307693
93089,7,2,camera_distance,12,0.08974358974358976,0.10897435897435899,0.019230769230769232,0.08117613123247483,-0.11538461538461539,0.15384615384615385
93089,7,3,camera_distance,12,0.20512820512820515,0.26282051282051283,0.0576923076923077,0.14060118365652519,-0.15384615384615383,0.2692307692307693
93089,all,1,distance,12,0.086996336996337,0.10210622710622712,0.015109890109890107,0.028610305525908774,-0.038461538461538464,0.054945054945054944
93089,all,2,distance,12,0.28983516483516486,0.29304029304029305,0.0032051282051282007,0.07852821979418571,-0.0714285714285714,0.2032967032967033
93089,all,3,distance,12,0.5288461538461537,0.5595238095238094,0.030677655677655683,0.0920438386032193,-0.054945054945054916,0.20879120879120883
