stage,dataset,scheme,condition,test_identities,chance,key_seed,set_seed,config_sha256,git_commit,exposures,model,seed,top1,top5,auroc,eer,tar_at_far_1e-2,tar_at_far_1e-3,lower95,upper95,best_epoch,elapsed_seconds,oracle_top1
pilot,MOBIO,IoM-GRP,random_key_pool_4,30,0.03333333333333333,91217,91219,5c40a617f724793a0d635583b9d5bd5a74524702506f356f4f86fbf0a40354c2,d5f4e8901db4bd4ddda5a2dd7e9610211921846e,1,single_mlp,419,0.525,0.8666666666666667,0.9329705459770116,0.15402298850574714,0.4583333333333333,0.16666666666666666,0.42489583333333353,0.6291666666666667,118,2.1818246841430664,1.0
pilot,MOBIO,IoM-GRP,random_key_pool_4,30,0.03333333333333333,91217,91219,5c40a617f724793a0d635583b9d5bd5a74524702506f356f4f86fbf0a40354c2,d5f4e8901db4bd4ddda5a2dd7e9610211921846e,10,mean_mlp,419,0.9041666666666667,1.0,0.9963260296934866,0.024856321839080472,0.875,0.575,0.8082291666666669,0.9791666666666666,119,3.0526561737060547,1.0
pilot,MOBIO,IoM-GRP,random_key_pool_4,30,0.03333333333333333,91217,91219,5c40a617f724793a0d635583b9d5bd5a74524702506f356f4f86fbf0a40354c2,d5f4e8901db4bd4ddda5a2dd7e9610211921846e,10,deepsets,419,0.8041666666666667,0.9875,0.979375,0.057830459770114945,0.6125,0.375,0.6582291666666669,0.925,112,15.99333930015564,1.0
pilot,FEI,IoM-GRP,random_key_pool_4,40,0.025,91217,91219,2d16a2d9e30bfb583895d2d4eadad80e4dfb94bf72668a1888c66583e5084213,d5f4e8901db4bd4ddda5a2dd7e9610211921846e,1,single_mlp,419,0.6125,0.890625,0.9534347455929487,0.12808493589743591,0.534375,0.334375,0.521875,0.703125,115,2.730105400085449,1.0
pilot,FEI,IoM-GRP,random_key_pool_4,40,0.025,91217,91219,2d16a2d9e30bfb583895d2d4eadad80e4dfb94bf72668a1888c66583e5084213,d5f4e8901db4bd4ddda5a2dd7e9610211921846e,10,mean_mlp,419,0.95,0.99375,0.9968116486378206,0.04551282051282052,0.94375,0.878125,0.875,1.0,114,3.93027400970459,1.0
pilot,FEI,IoM-GRP,random_key_pool_4,40,0.025,91217,91219,2d16a2d9e30bfb583895d2d4eadad80e4dfb94bf72668a1888c66583e5084213,d5f4e8901db4bd4ddda5a2dd7e9610211921846e,10,deepsets,419,0.825,0.975,0.984775390625,0.04859775641025641,0.76875,0.584375,0.715625,0.928125,67,17.35793375968933,1.0
pilot,MOBIO,PolyProtect,random_key_pool_4,30,0.03333333333333333,91217,91219,d16ab2ea58c4ca880197b796bfbea0cc6aafb1a059a9ca6356be3454c5b18662,d5f4e8901db4bd4ddda5a2dd7e9610211921846e,1,single_mlp,419,0.041666666666666664,0.19166666666666668,0.5281064415708813,0.48354885057471264,0.020833333333333332,0.004166666666666667,0.004166666666666667,0.09166666666666666,14,0.26006317138671875,1.0
pilot,MOBIO,PolyProtect,random_key_pool_4,30,0.03333333333333333,91217,91219,d16ab2ea58c4ca880197b796bfbea0cc6aafb1a059a9ca6356be3454c5b18662,d5f4e8901db4bd4ddda5a2dd7e9610211921846e,10,mean_mlp,419,0.3416666666666667,0.75,0.8148132183908046,0.2304597701149425,0.18333333333333332,0.0625,0.19583333333333333,0.49166666666666664,59,0.550600528717041,1.0
pilot,MOBIO,PolyProtect,random_key_pool_4,30,0.03333333333333333,91217,91219,d16ab2ea58c4ca880197b796bfbea0cc6aafb1a059a9ca6356be3454c5b18662,d5f4e8901db4bd4ddda5a2dd7e9610211921846e,10,deepsets,419,0.425,0.6958333333333333,0.8093648227969348,0.2438218390804598,0.35,0.09583333333333334,0.25,0.5875,118,2.830280065536499,1.0
pilot,FEI,PolyProtect,random_key_pool_4,40,0.025,91217,91219,01225770ca98faf8b88de3cbb203bc20a9398e8233bfd17368c125d5fe0602e7,d5f4e8901db4bd4ddda5a2dd7e9610211921846e,1,single_mlp,419,0.03125,0.146875,0.5300798778044872,0.478886217948718,0.03125,0.015625,0.0,0.0875,20,0.35313987731933594,1.0
pilot,FEI,PolyProtect,random_key_pool_4,40,0.025,91217,91219,01225770ca98faf8b88de3cbb203bc20a9398e8233bfd17368c125d5fe0602e7,d5f4e8901db4bd4ddda5a2dd7e9610211921846e,10,mean_mlp,419,0.6125,0.875,0.9433220653044873,0.11622596153846153,0.521875,0.1875,0.4749218750000001,0.75,63,0.7120482921600342,1.0
pilot,FEI,PolyProtect,random_key_pool_4,40,0.025,91217,91219,01225770ca98faf8b88de3cbb203bc20a9398e8233bfd17368c125d5fe0602e7,d5f4e8901db4bd4ddda5a2dd7e9610211921846e,10,deepsets,419,0.621875,0.8375,0.9257189002403848,0.137900641025641,0.55625,0.31875,0.484375,0.7625,76,3.330260992050171,1.0
pilot,MOBIO,IoM-GRP,random_key_pool_8,30,0.03333333333333333,91217,91219,5da63e995e81497cfa96be8f6e24e17fb2ec1eba38bd15cd8b8fc329d5c2aae0,d5f4e8901db4bd4ddda5a2dd7e9610211921846e,1,single_mlp,419,0.2708333333333333,0.6125,0.8279621647509579,0.24583333333333335,0.14166666666666666,0.020833333333333332,0.1748958333333335,0.375,120,2.2292232513427734,1.0
pilot,MOBIO,IoM-GRP,random_key_pool_8,30,0.03333333333333333,91217,91219,5da63e995e81497cfa96be8f6e24e17fb2ec1eba38bd15cd8b8fc329d5c2aae0,d5f4e8901db4bd4ddda5a2dd7e9610211921846e,10,mean_mlp,419,0.5708333333333333,0.9541666666666667,0.9684452825670499,0.08943965517241381,0.4875,0.25,0.4040625000000002,0.7416666666666667,118,3.093397378921509,1.0
pilot,MOBIO,IoM-GRP,random_key_pool_8,30,0.03333333333333333,91217,91219,5da63e995e81497cfa96be8f6e24e17fb2ec1eba38bd15cd8b8fc329d5c2aae0,d5f4e8901db4bd4ddda5a2dd7e9610211921846e,10,deepsets,419,0.4375,0.8583333333333333,0.9354094827586207,0.15517241379310345,0.32916666666666666,0.10416666666666667,0.26666666666666666,0.6208333333333333,47,10.62598180770874,1.0
pilot,FEI,IoM-GRP,random_key_pool_8,40,0.025,91217,91219,07c4ff6d4cee101ec2bb1e96b4e9e8c868b983b622f16c4af31cd74c56358d25,d5f4e8901db4bd4ddda5a2dd7e9610211921846e,1,single_mlp,419,0.290625,0.68125,0.8522473457532052,0.22423878205128206,0.209375,0.046875,0.215625,0.378125,99,2.7533295154571533,1.0
pilot,FEI,IoM-GRP,random_key_pool_8,40,0.025,91217,91219,07c4ff6d4cee101ec2bb1e96b4e9e8c868b983b622f16c4af31cd74c56358d25,d5f4e8901db4bd4ddda5a2dd7e9610211921846e,10,mean_mlp,419,0.834375,0.946875,0.9821031149839743,0.07191506410256411,0.790625,0.61875,0.71875,0.94375,112,3.972027540206909,1.0
pilot,FEI,IoM-GRP,random_key_pool_8,40,0.025,91217,91219,07c4ff6d4cee101ec2bb1e96b4e9e8c868b983b622f16c4af31cd74c56358d25,d5f4e8901db4bd4ddda5a2dd7e9610211921846e,10,deepsets,419,0.5875,0.840625,0.9398988381410256,0.14142628205128208,0.478125,0.3625,0.446875,0.734375,60,16.215875387191772,1.0
pilot,MOBIO,PolyProtect,random_key_pool_8,30,0.03333333333333333,91217,91219,161f5df041315381d1f1f367e2b0779bccf1f99528ca22537b94267857972a10,d5f4e8901db4bd4ddda5a2dd7e9610211921846e,1,single_mlp,419,0.041666666666666664,0.16666666666666666,0.5075197557471265,0.49992816091954023,0.020833333333333332,0.004166666666666667,0.0,0.1,15,0.2685706615447998,1.0
pilot,MOBIO,PolyProtect,random_key_pool_8,30,0.03333333333333333,91217,91219,161f5df041315381d1f1f367e2b0779bccf1f99528ca22537b94267857972a10,d5f4e8901db4bd4ddda5a2dd7e9610211921846e,10,mean_mlp,419,0.058333333333333334,0.18333333333333332,0.5110817768199234,0.5012931034482759,0.025,0.0,0.0,0.15,10,0.25411081314086914,1.0
pilot,MOBIO,PolyProtect,random_key_pool_8,30,0.03333333333333333,91217,91219,161f5df041315381d1f1f367e2b0779bccf1f99528ca22537b94267857972a10,d5f4e8901db4bd4ddda5a2dd7e9610211921846e,10,deepsets,419,0.041666666666666664,0.2,0.4914409722222222,0.5163793103448275,0.0,0.0,0.0,0.11666666666666667,11,0.9856772422790527,1.0
pilot,FEI,PolyProtect,random_key_pool_8,40,0.025,91217,91219,ad773376063ca10d978d4c3fe59f30d4a0c65a46c1689c5c77993d9c90235e1d,d5f4e8901db4bd4ddda5a2dd7e9610211921846e,1,single_mlp,419,0.04375,0.121875,0.5305513822115384,0.4781650641025641,0.028125,0.0,0.003125,0.096875,19,0.3596177101135254,1.0
pilot,FEI,PolyProtect,random_key_pool_8,40,0.025,91217,91219,ad773376063ca10d978d4c3fe59f30d4a0c65a46c1689c5c77993d9c90235e1d,d5f4e8901db4bd4ddda5a2dd7e9610211921846e,10,mean_mlp,419,0.053125,0.1875,0.5822435897435897,0.4006009615384616,0.053125,0.0,0.003125,0.128125,14,0.33709144592285156,1.0
pilot,FEI,PolyProtect,random_key_pool_8,40,0.025,91217,91219,ad773376063ca10d978d4c3fe59f30d4a0c65a46c1689c5c77993d9c90235e1d,d5f4e8901db4bd4ddda5a2dd7e9610211921846e,10,deepsets,419,0.0375,0.14375,0.5126019130608974,0.4705929487179487,0.0,0.0,0.0,0.1,15,1.435828685760498,1.0
