dataset,scheme,split_seed,key_seed,model_seed,model,exposures,top1,chance,best_epoch,best_validation_loss,training_seconds
FEI,IoM-GRP,91831,91901,613,mean_mlp,10,0.975,0.025,119,0.5790095329284668,3.6570000000028813
FEI,IoM-GRP,91831,91907,601,single_mlp,1,0.7,0.025,115,0.713804304599762,2.6409999999996217
FEI,IoM-GRP,91831,91907,601,prediction_mean,10,0.975,0.025,115,0.713804304599762,0
FEI,IoM-GRP,91831,91907,601,mean_mlp,10,0.990625,0.025,120,0.5689337849617004,4.0
FEI,IoM-GRP,91831,91907,607,single_mlp,1,0.73125,0.025,113,0.7118817567825317,2.639999999999418
FEI,IoM-GRP,91831,91907,607,prediction_mean,10,0.978125,0.025,113,0.7118817567825317,0
FEI,IoM-GRP,91831,91907,607,mean_mlp,10,0.996875,0.025,118,0.5665035843849182,3.9530000000013388
FEI,IoM-GRP,91831,91907,613,single_mlp,1,0.69375,0.025,118,0.71685791015625,2.561999999998079
FEI,IoM-GRP,91831,91907,613,prediction_mean,10,0.95625,0.025,118,0.71685791015625,0
FEI,IoM-GRP,91831,91907,613,mean_mlp,10,0.996875,0.025,108,0.5791574716567993,3.639999999999418
FEI,IoM-GRP,91831,91909,601,single_mlp,1,0.778125,0.025,109,0.7157948017120361,2.5940000000009604
FEI,IoM-GRP,91831,91909,601,prediction_mean,10,0.98125,0.025,109,0.7157948017120361,0
FEI,IoM-GRP,91831,91909,601,mean_mlp,10,1.0,0.025,113,0.5680601000785828,3.75
FEI,IoM-GRP,91831,91909,607,single_mlp,1,0.715625,0.025,118,0.7167332768440247,2.4540000000015425
FEI,IoM-GRP,91831,91909,607,prediction_mean,10,0.971875,0.025,118,0.7167332768440247,0
FEI,IoM-GRP,91831,91909,607,mean_mlp,10,0.990625,0.025,107,0.5715281963348389,3.7810000000026776
FEI,IoM-GRP,91831,91909,613,single_mlp,1,0.746875,0.025,113,0.7150005102157593,2.5309999999990396
FEI,IoM-GRP,91831,91909,613,prediction_mean,10,0.975,0.025,113,0.7150005102157593,0
FEI,IoM-GRP,91831,91909,613,mean_mlp,10,0.99375,0.025,108,0.5840687155723572,3.7030000000013388
FEI,PolyProtect,91831,91901,601,single_mlp,1,0.09375,0.025,20,0.8383265733718872,0.35899999999674037
FEI,PolyProtect,91831,91901,601,prediction_mean,10,0.090625,0.025,20,0.8383265733718872,0
FEI,PolyProtect,91831,91901,601,mean_mlp,10,0.059375,0.025,14,0.8322519063949585,0.2969999999986612
FEI,PolyProtect,91831,91901,607,single_mlp,1,0.075,0.025,19,0.8376542925834656,0.35900000000037835
FEI,PolyProtect,91831,91901,607,prediction_mean,10,0.075,0.025,19,0.8376542925834656,0
FEI,PolyProtect,91831,91901,607,mean_mlp,10,0.1,0.025,14,0.8245816230773926,0.3440000000009604
FEI,PolyProtect,91831,91901,613,single_mlp,1,0.096875,0.025,20,0.8420199751853943,0.3279999999977008
FEI,PolyProtect,91831,91901,613,prediction_mean,10,0.075,0.025,20,0.8420199751853943,0
FEI,PolyProtect,91831,91901,613,mean_mlp,10,0.096875,0.025,15,0.831943929195404,0.3280000000013388
FEI,PolyProtect,91831,91907,601,single_mlp,1,0.625,0.025,111,0.7500500679016113,0.75
FEI,PolyProtect,91831,91907,601,prediction_mean,10,0.9375,0.025,111,0.7500500679016113,0
FEI,PolyProtect,91831,91907,601,mean_mlp,10,0.83125,0.025,120,0.7000865936279297,0.8589999999967404
FEI,PolyProtect,91831,91907,607,single_mlp,1,0.69375,0.025,81,0.7576048374176025,0.75
FEI,PolyProtect,91831,91907,607,prediction_mean,10,0.94375,0.025,81,0.7576048374176025,0
FEI,PolyProtect,91831,91907,607,mean_mlp,10,0.840625,0.025,120,0.7132815718650818,0.8439999999973224
FEI,PolyProtect,91831,91907,613,single_mlp,1,0.65,0.025,94,0.751899778842926,0.8280000000013388
FEI,PolyProtect,91831,91907,613,prediction_mean,10,0.94375,0.025,94,0.751899778842926,0
FEI,PolyProtect,91831,91907,613,mean_mlp,10,0.865625,0.025,120,0.7051315903663635,0.8590000000003783
FEI,PolyProtect,91831,91909,601,single_mlp,1,0.078125,0.025,21,0.8339947462081909,0.3120000000017171
FEI,PolyProtect,91831,91909,601,prediction_mean,10,0.05,0.025,21,0.8339947462081909,0
FEI,PolyProtect,91831,91909,601,mean_mlp,10,0.86875,0.025,120,0.7366041541099548,0.875
FEI,PolyProtect,91831,91909,607,single_mlp,1,0.065625,0.025,23,0.8348089456558228,0.35900000000037835
FEI,PolyProtect,91831,91909,607,prediction_mean,10,0.053125,0.025,23,0.8348089456558228,0
FEI,PolyProtect,91831,91909,607,mean_mlp,10,0.765625,0.025,120,0.7369450926780701,0.875
FEI,PolyProtect,91831,91909,613,single_mlp,1,0.071875,0.025,24,0.8311408162117004,0.3440000000009604
FEI,PolyProtect,91831,91909,613,prediction_mean,10,0.075,0.025,24,0.8311408162117004,0
FEI,PolyProtect,91831,91909,613,mean_mlp,10,0.753125,0.025,120,0.7286607027053833,0.875
MOBIO,IoM-GRP,91843,91901,601,single_mlp,1,0.6041666666666666,0.03333333333333333,116,0.7958329319953918,1.9370000000017171
MOBIO,IoM-GRP,91843,91901,601,prediction_mean,10,0.9666666666666667,0.03333333333333333,116,0.7958329319953918,0
MOBIO,IoM-GRP,91843,91901,601,mean_mlp,10,0.8583333333333333,0.03333333333333333,117,0.6689420342445374,2.952999999997701
MOBIO,IoM-GRP,91843,91901,607,single_mlp,1,0.6333333333333333,0.03333333333333333,115,0.7891733646392822,2.0939999999973224
MOBIO,IoM-GRP,91843,91901,607,prediction_mean,10,0.9333333333333333,0.03333333333333333,115,0.7891733646392822,0
MOBIO,IoM-GRP,91843,91901,607,mean_mlp,10,0.9333333333333333,0.03333333333333333,106,0.6772787570953369,3.0
MOBIO,IoM-GRP,91843,91901,613,single_mlp,1,0.5875,0.03333333333333333,115,0.7918059825897217,1.9379999999982829
MOBIO,IoM-GRP,91843,91901,613,prediction_mean,10,0.9333333333333333,0.03333333333333333,115,0.7918059825897217,0
MOBIO,IoM-GRP,91843,91901,613,mean_mlp,10,0.9125,0.03333333333333333,118,0.6730632781982422,2.875
MOBIO,IoM-GRP,91843,91907,601,single_mlp,1,0.45416666666666666,0.03333333333333333,120,0.788925290107727,2.2659999999996217
MOBIO,IoM-GRP,91843,91907,601,prediction_mean,10,0.8791666666666667,0.03333333333333333,120,0.788925290107727,0
MOBIO,IoM-GRP,91843,91907,601,mean_mlp,10,0.8625,0.03333333333333333,108,0.6658385992050171,2.9219999999986612
MOBIO,IoM-GRP,91843,91907,607,single_mlp,1,0.48333333333333334,0.03333333333333333,119,0.7806411981582642,2.0
MOBIO,IoM-GRP,91843,91907,607,prediction_mean,10,0.8333333333333334,0.03333333333333333,119,0.7806411981582642,0
MOBIO,IoM-GRP,91843,91907,607,mean_mlp,10,0.9375,0.03333333333333333,119,0.6559222936630249,3.0940000000009604
MOBIO,IoM-GRP,91843,91907,613,single_mlp,1,0.5208333333333334,0.03333333333333333,110,0.7907428741455078,2.389999999999418
