stage,dataset,split_seed,scheme,condition,exposures,model,seed,estimate,lower,upper,confidence,resamples,identity_clusters,margin,interval_within_margin,analysis
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,10,mean_mlp,91223,-4.625929269271486e-19,-0.03333333333333333,0.06666666666666668,0.9,2000,30,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,10,mean_mlp,91223,-4.625929269271486e-19,-0.03333333333333333,0.06666666666666668,0.9,2000,30,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,10,mean_mlp,91223,-4.625929269271486e-19,-0.03333333333333333,0.06666666666666668,0.9,2000,30,0.05,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,10,mean_mlp,91223,-4.625929269271486e-19,-0.03333333333333333,0.06666666666666668,0.9,2000,30,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,10,mean_mlp,91223,-4.625929269271486e-19,-0.03333333333333333,0.06666666666666668,0.9,2000,30,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,10,mean_mlp,91223,-4.625929269271486e-19,-0.03333333333333333,0.06666666666666668,0.9,2000,30,0.05,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,10,mean_mlp,91223,0.01666666666666667,-0.025,0.08333333333333334,0.9,2000,30,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,10,mean_mlp,91223,0.01666666666666667,-0.025,0.08333333333333334,0.9,2000,30,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,10,mean_mlp,91223,0.01666666666666667,-0.025,0.08333333333333334,0.9,2000,30,0.05,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,10,deepsets,91223,-4.625929269271486e-19,-0.03333333333333333,0.06666666666666668,0.9,2000,30,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,10,deepsets,91223,-4.625929269271486e-19,-0.03333333333333333,0.06666666666666668,0.9,2000,30,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,10,deepsets,91223,-4.625929269271486e-19,-0.03333333333333333,0.06666666666666668,0.9,2000,30,0.05,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,10,deepsets,91223,-4.625929269271486e-19,-0.03333333333333333,0.06666666666666668,0.9,2000,30,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,10,deepsets,91223,-4.625929269271486e-19,-0.03333333333333333,0.06666666666666668,0.9,2000,30,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
