stage,dataset,split_seed,scheme,condition,exposures,model,seed,contrast,estimate,lower,upper,confidence,resamples,identity_clusters,bootstrap_seed
bounded_validation,MOBIO,91831,IoM-GRP,random_key_pool_1,10,mean_mlp,607,reuse_minus_fresh,0.9666666666666667,0.9,1.0,0.95,2000,30,91223
bounded_validation,MOBIO,91831,IoM-GRP,random_key_pool_1,10,mean_mlp,613,ten_minus_one,0.0125,0.0,0.025,0.95,2000,30,91223
bounded_validation,MOBIO,91831,IoM-GRP,random_key_pool_1,10,mean_mlp,613,reuse_minus_fresh,0.95,0.8666666666666667,1.0,0.95,2000,30,91223
bounded_validation,MOBIO,91831,IoM-GRP,random_key_pool_1,10,deepsets,601,ten_minus_one,-0.04583333333333333,-0.13333333333333333,0.0125,0.95,2000,30,91223
bounded_validation,MOBIO,91831,IoM-GRP,random_key_pool_1,10,deepsets,601,reuse_minus_fresh,0.9125,0.8125,1.0,0.95,2000,30,91223
bounded_validation,MOBIO,91831,IoM-GRP,random_key_pool_1,10,deepsets,607,ten_minus_one,-0.0875,-0.2,0.0,0.95,2000,30,91223
bounded_validation,MOBIO,91831,IoM-GRP,random_key_pool_1,10,deepsets,607,reuse_minus_fresh,0.8708333333333333,0.7540625000000002,0.9666666666666667,0.95,2000,30,91223
bounded_validation,MOBIO,91831,IoM-GRP,random_key_pool_1,10,deepsets,613,ten_minus_one,-0.12083333333333333,-0.25,-0.020833333333333332,0.95,2000,30,91223
bounded_validation,MOBIO,91831,IoM-GRP,random_key_pool_1,10,deepsets,613,reuse_minus_fresh,0.8333333333333334,0.7,0.9341666666666621,0.95,2000,30,91223
bounded_validation,SCface,91831,IoM-GRP,random_key_pool_1,1,single_mlp,601,reuse_minus_fresh,0.5769230769230769,0.4567307692307692,0.6875,0.95,2000,26,91223
bounded_validation,SCface,91831,IoM-GRP,random_key_pool_1,1,single_mlp,607,reuse_minus_fresh,0.5625,0.44711538461538464,0.6730769230769231,0.95,2000,26,91223
bounded_validation,SCface,91831,IoM-GRP,random_key_pool_1,1,single_mlp,613,reuse_minus_fresh,0.6057692307692307,0.49038461538461536,0.7067307692307693,0.95,2000,26,91223
bounded_validation,SCface,91831,IoM-GRP,random_key_pool_1,2,mean_mlp,601,reuse_minus_fresh,0.6971153846153846,0.5673076923076923,0.8076923076923077,0.95,2000,26,91223
bounded_validation,SCface,91831,IoM-GRP,random_key_pool_1,2,mean_mlp,607,reuse_minus_fresh,0.7163461538461539,0.5912259615384617,0.8269230769230769,0.95,2000,26,91223
bounded_validation,SCface,91831,IoM-GRP,random_key_pool_1,2,mean_mlp,613,reuse_minus_fresh,0.7403846153846154,0.6153846153846154,0.8510817307692301,0.95,2000,26,91223
