stage,dataset,scheme,split_seed,chance,condition,model,model_seeds,identity_clusters,gain,seed_sd,lower95,upper95,primary,signflip_p,holm_p
bounded_validation,SCface,IoM-GRP,91831,0.038461538461538464,random_key_pool_8,mean_mlp,3,26,0.08493589743589744,0.02272026743390677,0.011217948717948718,0.16987179487179488,False,,
bounded_validation,SCface,IoM-GRP,91831,0.038461538461538464,random_key_pool_8,deepsets,3,26,0.08012820512820513,0.026478704554260105,0.004767628205128207,0.16830929487179466,False,,
bounded_validation,SCface,IoM-GRP,91843,0.038461538461538464,independent_unseen_keys,mean_mlp,3,26,-0.004807692307692308,0.004807692307692308,-0.057692307692307696,0.041666666666666664,False,,
bounded_validation,SCface,IoM-GRP,91843,0.038461538461538464,independent_unseen_keys,deepsets,3,26,-0.003205128205128205,0.002775722448027047,-0.04006410256410257,0.03365384615384615,False,,
bounded_validation,SCface,IoM-GRP,91843,0.038461538461538464,random_key_pool_1,mean_mlp,3,26,0.2516025641025641,0.015454568527232293,0.18269230769230768,0.3301282051282051,False,,
bounded_validation,SCface,IoM-GRP,91843,0.038461538461538464,random_key_pool_1,deepsets,3,26,0.125,0.0838249796834745,0.015985576923076925,0.2387820512820513,False,,
bounded_validation,SCface,IoM-GRP,91843,0.038461538461538464,random_key_pool_4,mean_mlp,3,26,0.34294871794871795,0.03272528502670214,0.21474358974358973,0.47115384615384615,True,0.0005,0.004
bounded_validation,SCface,IoM-GRP,91843,0.038461538461538464,random_key_pool_4,deepsets,3,26,0.24519230769230768,0.04996300406448686,0.11053685897435897,0.3814503205128203,False,,
bounded_validation,SCface,IoM-GRP,91843,0.038461538461538464,random_key_pool_8,mean_mlp,3,26,0.22916666666666666,0.026478704554260116,0.08008814102564103,0.3782451923076921,False,,
bounded_validation,SCface,IoM-GRP,91843,0.038461538461538464,random_key_pool_8,deepsets,3,26,0.16987179487179488,0.007343871306018976,0.049679487179487176,0.28850160256410234,False,,
bounded_validation,SCface,PolyProtect,91831,0.038461538461538464,independent_unseen_keys,mean_mlp,3,26,0.003205128205128205,0.005551444896054094,0.0,0.019230769230769232,False,,
bounded_validation,SCface,PolyProtect,91831,0.038461538461538464,independent_unseen_keys,deepsets,3,26,0.0,0.0,0.0,0.0,False,,
bounded_validation,SCface,PolyProtect,91831,0.038461538461538464,random_key_pool_1,mean_mlp,3,26,0.15865384615384615,0.04807692307692307,0.03040865384615385,0.2724759615384613,False,,
bounded_validation,SCface,PolyProtect,91831,0.038461538461538464,random_key_pool_1,deepsets,3,26,0.00641025641025641,0.09338975823290682,-0.16514423076923077,0.16826923076923078,False,,
bounded_validation,SCface,PolyProtect,91831,0.038461538461538464,random_key_pool_4,mean_mlp,3,26,0.05929487179487179,0.02272026743390677,0.004807692307692308,0.1410657051282049,True,0.034,0.034
bounded_validation,SCface,PolyProtect,91831,0.038461538461538464,random_key_pool_4,deepsets,3,26,0.2387820512820513,0.08220076027712925,0.09935897435897435,0.3879006410256406,False,,
bounded_validation,SCface,PolyProtect,91831,0.038461538461538464,random_key_pool_8,mean_mlp,3,26,0.4342948717948718,0.04362390252825706,0.3125,0.5544871794871795,False,,
bounded_validation,SCface,PolyProtect,91831,0.038461538461538464,random_key_pool_8,deepsets,3,26,0.28365384615384615,0.08030429369466378,0.15544871794871795,0.42628205128205127,False,,
bounded_validation,SCface,PolyProtect,91843,0.038461538461538464,independent_unseen_keys,mean_mlp,3,26,0.0,0.009615384615384616,-0.022435897435897436,0.012860576923076704,False,,
bounded_validation,SCface,PolyProtect,91843,0.038461538461538464,independent_unseen_keys,deepsets,3,26,-0.00641025641025641,0.01688406050136657,-0.041666666666666664,0.020833333333333332,False,,
bounded_validation,SCface,PolyProtect,91843,0.038461538461538464,random_key_pool_1,mean_mlp,3,26,0.21153846153846154,0.03466876226407682,0.1362179487179487,0.2900641025641026,False,,
bounded_validation,SCface,PolyProtect,91843,0.038461538461538464,random_key_pool_1,deepsets,3,26,0.15865384615384615,0.094700555786501,0.02403846153846154,0.2692708333333331,False,,
bounded_validation,SCface,PolyProtect,91843,0.038461538461538464,random_key_pool_4,mean_mlp,3,26,0.057692307692307696,0.022031613918056928,0.01282051282051282,0.1201923076923077,True,0.0055,0.011
bounded_validation,SCface,PolyProtect,91843,0.038461538461538464,random_key_pool_4,deepsets,3,26,0.27724358974358976,0.021679085350110077,0.15865384615384615,0.39907852564102547,False,,
bounded_validation,SCface,PolyProtect,91843,0.038461538461538464,random_key_pool_8,mean_mlp,3,26,0.4807692307692308,0.07509855457602552,0.32528044871794876,0.6298477564102561,False,,
bounded_validation,SCface,PolyProtect,91843,0.038461538461538464,random_key_pool_8,deepsets,3,26,0.3733974358974359,0.05572223926510804,0.23237179487179488,0.5144230769230769,False,,
