stage,dataset,split_seed,scheme,condition,exposures,model,seed,contrast,estimate,lower,upper,confidence,resamples,identity_clusters,bootstrap_seed
bounded_validation,FEI,92531,PolyProtect,random_key_pool_4,1,single_mlp,719,reuse_minus_fresh,0.5625,0.478125,0.640625,0.95,2000,40,91223
bounded_validation,FEI,92531,PolyProtect,random_key_pool_4,10,mean_mlp,701,ten_minus_one,0.359375,0.246875,0.475,0.95,2000,40,91223
bounded_validation,FEI,92531,PolyProtect,random_key_pool_4,10,mean_mlp,701,reuse_minus_fresh,0.840625,0.725,0.9375,0.95,2000,40,91223
bounded_validation,FEI,92531,PolyProtect,random_key_pool_4,10,mean_mlp,709,ten_minus_one,0.39375,0.29367187500000014,0.503125,0.95,2000,40,91223
bounded_validation,FEI,92531,PolyProtect,random_key_pool_4,10,mean_mlp,709,reuse_minus_fresh,0.871875,0.765625,0.959375,0.95,2000,40,91223
bounded_validation,FEI,92531,PolyProtect,random_key_pool_4,10,mean_mlp,719,ten_minus_one,0.25,0.16875,0.3375,0.95,2000,40,91223
bounded_validation,FEI,92531,PolyProtect,random_key_pool_4,10,mean_mlp,719,reuse_minus_fresh,0.8,0.68125,0.90625,0.95,2000,40,91223
bounded_validation,MOBIO,92543,PolyProtect,random_key_pool_4,1,single_mlp,701,reuse_minus_fresh,0.3333333333333333,0.225,0.44166666666666665,0.95,2000,30,91223
bounded_validation,MOBIO,92543,PolyProtect,random_key_pool_4,1,single_mlp,709,reuse_minus_fresh,0.35833333333333334,0.25,0.4666666666666667,0.95,2000,30,91223
bounded_validation,MOBIO,92543,PolyProtect,random_key_pool_4,1,single_mlp,719,reuse_minus_fresh,0.2916666666666667,0.1875,0.3958333333333333,0.95,2000,30,91223
bounded_validation,MOBIO,92543,PolyProtect,random_key_pool_4,10,mean_mlp,701,ten_minus_one,0.4625,0.3375,0.5916666666666667,0.95,2000,30,91223
bounded_validation,MOBIO,92543,PolyProtect,random_key_pool_4,10,mean_mlp,701,reuse_minus_fresh,0.7541666666666667,0.6208333333333333,0.8791666666666667,0.95,2000,30,91223
bounded_validation,MOBIO,92543,PolyProtect,random_key_pool_4,10,mean_mlp,709,ten_minus_one,0.3875,0.25833333333333336,0.5291666666666667,0.95,2000,30,91223
bounded_validation,MOBIO,92543,PolyProtect,random_key_pool_4,10,mean_mlp,709,reuse_minus_fresh,0.7375,0.5958333333333333,0.8625,0.95,2000,30,91223
bounded_validation,MOBIO,92543,PolyProtect,random_key_pool_4,10,mean_mlp,719,ten_minus_one,0.4125,0.2791666666666667,0.5416666666666666,0.95,2000,30,91223
bounded_validation,MOBIO,92543,PolyProtect,random_key_pool_4,10,mean_mlp,719,reuse_minus_fresh,0.6708333333333333,0.5082291666666668,0.825,0.95,2000,30,91223
bounded_validation,FEI,92543,PolyProtect,random_key_pool_4,1,single_mlp,701,reuse_minus_fresh,0.434375,0.35,0.525,0.95,2000,40,91223
bounded_validation,FEI,92543,PolyProtect,random_key_pool_4,1,single_mlp,709,reuse_minus_fresh,0.421875,0.3375,0.5125,0.95,2000,40,91223
bounded_validation,FEI,92543,PolyProtect,random_key_pool_4,1,single_mlp,719,reuse_minus_fresh,0.4625,0.36875,0.55625,0.95,2000,40,91223
bounded_validation,FEI,92543,PolyProtect,random_key_pool_4,10,mean_mlp,701,ten_minus_one,0.43125,0.321875,0.5344531249999996,0.95,2000,40,91223
bounded_validation,FEI,92543,PolyProtect,random_key_pool_4,10,mean_mlp,701,reuse_minus_fresh,0.890625,0.803125,0.9625,0.95,2000,40,91223
bounded_validation,FEI,92543,PolyProtect,random_key_pool_4,10,mean_mlp,709,ten_minus_one,0.421875,0.303125,0.528125,0.95,2000,40,91223
bounded_validation,FEI,92543,PolyProtect,random_key_pool_4,10,mean_mlp,709,reuse_minus_fresh,0.834375,0.7217968750000002,0.928125,0.95,2000,40,91223
