stage,dataset,scheme,split_seed,condition,test_identities,chance,key_seed,set_seed,config_sha256,git_commit,exposures,model,seed,top1,top5,auroc,eer,tar_at_far_1e-2,tar_at_far_1e-3,lower95,upper95,best_epoch,elapsed_seconds,oracle_top1
bounded_validation,FEI,IoM-GRP,92543,random_key_pool_4,40,0.025,92501,92507,8f18e9ced318a441dd2ed45e10fbfc0292d8ebe998500367a1ac99c8056c720b,ffab5aae7750a254249970c4154d134d4754b2ad,10,mean_mlp,719,0.984375,1.0,0.9978728465544872,0.027724358974358952,0.921875,0.821875,0.95625,1.0,115,4.081308841705322,1.0
bounded_validation,MOBIO,PolyProtect,92531,random_key_pool_4,30,0.03333333333333333,92501,92507,5ad1faf00f19babc52c04036386b58ea46abdbabb0fcf1ec217589486e4833a6,ffab5aae7750a254249970c4154d134d4754b2ad,1,single_mlp,701,0.3375,0.7458333333333333,0.8707579022988505,0.21997126436781608,0.225,0.08333333333333333,0.24583333333333332,0.4375,87,0.6994831562042236,1.0
bounded_validation,MOBIO,PolyProtect,92531,random_key_pool_4,30,0.03333333333333333,92501,92507,5ad1faf00f19babc52c04036386b58ea46abdbabb0fcf1ec217589486e4833a6,ffab5aae7750a254249970c4154d134d4754b2ad,1,single_mlp,709,0.3625,0.7291666666666666,0.8583542863984676,0.21666666666666667,0.22083333333333333,0.04583333333333333,0.275,0.45,94,0.7344777584075928,1.0
bounded_validation,MOBIO,PolyProtect,92531,random_key_pool_4,30,0.03333333333333333,92501,92507,5ad1faf00f19babc52c04036386b58ea46abdbabb0fcf1ec217589486e4833a6,ffab5aae7750a254249970c4154d134d4754b2ad,1,single_mlp,719,0.35833333333333334,0.6916666666666667,0.8411907327586208,0.22916666666666663,0.23333333333333334,0.041666666666666664,0.2708333333333333,0.45,74,0.664832592010498,1.0
bounded_validation,MOBIO,PolyProtect,92531,random_key_pool_4,30,0.03333333333333333,92501,92507,5ad1faf00f19babc52c04036386b58ea46abdbabb0fcf1ec217589486e4833a6,ffab5aae7750a254249970c4154d134d4754b2ad,10,mean_mlp,701,0.7458333333333333,0.9458333333333333,0.9708961925287356,0.11192528735632186,0.7375,0.4166666666666667,0.5916666666666667,0.8792708333333328,120,0.8241562843322754,1.0
bounded_validation,MOBIO,PolyProtect,92531,random_key_pool_4,30,0.03333333333333333,92501,92507,5ad1faf00f19babc52c04036386b58ea46abdbabb0fcf1ec217589486e4833a6,ffab5aae7750a254249970c4154d134d4754b2ad,10,mean_mlp,709,0.7875,0.9541666666666667,0.9826005747126436,0.07923850574712646,0.7333333333333333,0.375,0.6498958333333336,0.9041666666666667,120,0.8038842678070068,1.0
bounded_validation,MOBIO,PolyProtect,92531,random_key_pool_4,30,0.03333333333333333,92501,92507,5ad1faf00f19babc52c04036386b58ea46abdbabb0fcf1ec217589486e4833a6,ffab5aae7750a254249970c4154d134d4754b2ad,10,mean_mlp,719,0.7166666666666667,0.925,0.9607177921455938,0.09116379310344827,0.5708333333333333,0.3125,0.5666666666666667,0.8541666666666666,120,0.7638399600982666,1.0
bounded_validation,FEI,PolyProtect,92531,random_key_pool_4,40,0.025,92501,92507,7b933202416339a867dad1f42567b543b26a6f584ce1713a15b4a626df15c17d,ffab5aae7750a254249970c4154d134d4754b2ad,1,single_mlp,701,0.50625,0.7875,0.9122881610576924,0.17411858974358976,0.4625,0.171875,0.4,0.6157031249999996,80,0.8087434768676758,1.0
bounded_validation,FEI,PolyProtect,92531,random_key_pool_4,40,0.025,92501,92507,7b933202416339a867dad1f42567b543b26a6f584ce1713a15b4a626df15c17d,ffab5aae7750a254249970c4154d134d4754b2ad,1,single_mlp,709,0.484375,0.83125,0.9344729066506411,0.140625,0.36875,0.109375,0.3875,0.5844531249999996,75,0.8137562274932861,1.0
bounded_validation,FEI,PolyProtect,92531,random_key_pool_4,40,0.025,92501,92507,7b933202416339a867dad1f42567b543b26a6f584ce1713a15b4a626df15c17d,ffab5aae7750a254249970c4154d134d4754b2ad,1,single_mlp,719,0.575,0.825,0.9241378705929488,0.15312499999999998,0.503125,0.228125,0.484375,0.65625,70,0.7326855659484863,1.0
bounded_validation,FEI,PolyProtect,92531,random_key_pool_4,40,0.025,92501,92507,7b933202416339a867dad1f42567b543b26a6f584ce1713a15b4a626df15c17d,ffab5aae7750a254249970c4154d134d4754b2ad,10,mean_mlp,701,0.865625,0.971875,0.9819546274038461,0.035536858974359,0.8125,0.6,0.75625,0.953125,120,0.9625763893127441,1.0
bounded_validation,FEI,PolyProtect,92531,random_key_pool_4,40,0.025,92501,92507,7b933202416339a867dad1f42567b543b26a6f584ce1713a15b4a626df15c17d,ffab5aae7750a254249970c4154d134d4754b2ad,10,mean_mlp,709,0.878125,0.984375,0.9912479967948717,0.056971153846153824,0.86875,0.759375,0.778125,0.96875,120,0.976355791091919,1.0
bounded_validation,FEI,PolyProtect,92531,random_key_pool_4,40,0.025,92501,92507,7b933202416339a867dad1f42567b543b26a6f584ce1713a15b4a626df15c17d,ffab5aae7750a254249970c4154d134d4754b2ad,10,mean_mlp,719,0.825,0.971875,0.98515625,0.057051282051282064,0.809375,0.684375,0.6998437500000002,0.925,120,0.9669532775878906,1.0
