stage,dataset,scheme,condition,test_identities,chance,key_seed,set_seed,config_sha256,git_commit,exposures,model,seed,top1,top5,auroc,eer,tar_at_far_1e-2,tar_at_far_1e-3,lower95,upper95,best_epoch,elapsed_seconds,oracle_top1
pilot,SCface,PolyProtect,independent_unseen_keys,26,0.038461538461538464,91817,91819,e55f288ff0b85e7b69f9c773f6d32c69d79b1381be14ad95d15f94d1b241f6b9,69a93e4cbd35211d78d38da5331f55832256152e,10,mean_mlp,509,0.03365384615384615,0.22596153846153846,0.5140893121301775,0.4726923076923077,0.0,0.0,0.0,0.08653846153846154,21,0.3373558521270752,0.9230769230769231
pilot,SCface,PolyProtect,independent_unseen_keys,26,0.038461538461538464,91817,91819,e55f288ff0b85e7b69f9c773f6d32c69d79b1381be14ad95d15f94d1b241f6b9,69a93e4cbd35211d78d38da5331f55832256152e,10,deepsets,509,0.04326923076923077,0.19230769230769232,0.5081897189349113,0.47115384615384615,0.028846153846153848,0.0,0.0,0.11538461538461539,40,0.5788533687591553,0.9230769230769231
pilot,SCface,IoM-GRP,random_key_pool_4,26,0.038461538461538464,91817,91819,7affe6ca35dde136d9b0bf9b1f1dd20d6bba85e7c6677c8043e20bea72efc0f3,69a93e4cbd35211d78d38da5331f55832256152e,1,single_mlp,509,0.28365384615384615,0.6442307692307693,0.791244452662722,0.2649038461538461,0.22115384615384615,0.0673076923076923,0.19230769230769232,0.3894230769230769,113,0.6996076107025146,0.8509615384615384
pilot,SCface,IoM-GRP,random_key_pool_4,26,0.038461538461538464,91817,91819,7affe6ca35dde136d9b0bf9b1f1dd20d6bba85e7c6677c8043e20bea72efc0f3,69a93e4cbd35211d78d38da5331f55832256152e,10,mean_mlp,509,0.6298076923076923,0.8894230769230769,0.9474343565088759,0.14413461538461542,0.5192307692307693,0.3557692307692308,0.46153846153846156,0.8028846153846154,110,1.8777236938476562,0.9230769230769231
pilot,SCface,IoM-GRP,random_key_pool_4,26,0.038461538461538464,91817,91819,7affe6ca35dde136d9b0bf9b1f1dd20d6bba85e7c6677c8043e20bea72efc0f3,69a93e4cbd35211d78d38da5331f55832256152e,10,deepsets,509,0.5144230769230769,0.8269230769230769,0.9164774408284024,0.1832692307692308,0.33653846153846156,0.23076923076923078,0.34134615384615385,0.6923076923076923,84,1.4675555229187012,0.9230769230769231
pilot,SCface,PolyProtect,random_key_pool_4,26,0.038461538461538464,91817,91819,6492de64a0603e163797b7031ab867d07b8c7b04e655e7ff0fde9a09e354178f,69a93e4cbd35211d78d38da5331f55832256152e,1,single_mlp,509,0.27884615384615385,0.6153846153846154,0.7754114275147929,0.2979807692307692,0.16346153846153846,0.04326923076923077,0.20180288461538484,0.36538461538461536,73,0.6094706058502197,0.8509615384615384
pilot,SCface,PolyProtect,random_key_pool_4,26,0.038461538461538464,91817,91819,6492de64a0603e163797b7031ab867d07b8c7b04e655e7ff0fde9a09e354178f,69a93e4cbd35211d78d38da5331f55832256152e,10,mean_mlp,509,0.6971153846153846,0.9278846153846154,0.9511316568047338,0.11115384615384619,0.5480769230769231,0.28846153846153844,0.5625,0.8365384615384616,120,0.7624599933624268,0.9230769230769231
pilot,SCface,PolyProtect,random_key_pool_4,26,0.038461538461538464,91817,91819,6492de64a0603e163797b7031ab867d07b8c7b04e655e7ff0fde9a09e354178f,69a93e4cbd35211d78d38da5331f55832256152e,10,deepsets,509,0.6105769230769231,0.8653846153846154,0.9128383875739645,0.14317307692307696,0.5048076923076923,0.28846153846153844,0.4423076923076923,0.7692307692307693,114,0.9185452461242676,0.9230769230769231
pilot,SCface,IoM-GRP,random_key_pool_8,26,0.038461538461538464,91817,91819,f56ee6c5bc0f25f44af74320e4456dd1e50e72efe83a588916ed1730b42860be,69a93e4cbd35211d78d38da5331f55832256152e,1,single_mlp,509,0.13942307692307693,0.4423076923076923,0.6951710428994083,0.36067307692307693,0.0673076923076923,0.019230769230769232,0.07211538461538461,0.21165865384615318,110,0.7108561992645264,0.8509615384615384
pilot,SCface,IoM-GRP,random_key_pool_8,26,0.038461538461538464,91817,91819,f56ee6c5bc0f25f44af74320e4456dd1e50e72efe83a588916ed1730b42860be,69a93e4cbd35211d78d38da5331f55832256152e,10,mean_mlp,509,0.34134615384615385,0.7596153846153846,0.8732516642011834,0.22874999999999998,0.23557692307692307,0.08653846153846154,0.20192307692307693,0.4855769230769231,110,0.9392611980438232,0.9230769230769231
